,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
0,2021-02-15 13:50:21.550,-0.158969,2.803969,9.085058,-0.043932,-0.04513,0.045454,-19.5975,-5.601242,-41.832703,-90.007644,-15.340794,-0.056757,Sitting
1,2021-02-15 13:50:21.600,0.105081,2.691852,9.735305,-0.01515,0.017822,-0.039482,-19.790108,-5.628992,-41.756622,-90.03067,-15.489331,-0.163034,Sitting
2,2021-02-15 13:50:21.650,-0.065414,2.734813,9.690698,0.02921,-0.072317,0.00618,-19.635098,-5.536165,-42.205139,-90.047929,-15.306761,-0.206336,Sitting
3,2021-02-15 13:50:21.700,0.2883,2.505939,9.488469,0.00731,-0.021133,-0.040295,-19.892584,-5.790623,-41.786987,-90.010922,-15.431007,-0.321902,Sitting
4,2021-02-15 13:50:21.751,-0.041763,2.713407,9.748029,0.076889,-0.03331,-0.016419,-19.826864,-5.771675,-41.874054,-90.017554,-15.39774,-0.532236,Sitting
5,2021-02-15 13:50:21.801,0.150737,2.682122,9.428893,-0.03194,0.00178,-0.008177,-19.971621,-5.804798,-42.039185,-89.883691,-15.565078,-0.516449,Sitting
6,2021-02-15 13:50:21.851,0.23561,2.647993,9.456435,-0.009199,0.02231,-0.011054,-20.096054,-5.807079,-41.832123,-89.897463,-15.515549,-0.656489,Sitting
7,2021-02-15 13:50:21.901,0.092508,2.675686,9.61286,-0.040897,-0.000714,-0.014035,-20.087244,-5.793457,-41.709351,-89.858385,-15.528812,-0.575887,Sitting
8,2021-02-15 13:50:21.951,0.110171,2.624492,9.596095,-0.015436,0.025441,-0.014469,-20.080072,-5.705484,-41.591064,-89.87541,-15.398233,-0.635025,Sitting
9,2021-02-15 13:50:22.002,0.069605,2.627935,9.643696,-0.021856,0.002113,-0.001136,-20.054253,-5.826685,-41.786621,-89.810833,-15.356456,-0.59177,Sitting
10,2021-02-15 13:50:22.052,0.190703,2.544409,9.668245,0.011806,0.048423,-0.030012,-20.049505,-5.559439,-41.621277,-89.829333,-15.272722,-0.60398,Sitting
11,2021-02-15 13:50:22.102,-0.003593,2.647395,9.493408,-0.029958,0.002332,-0.002338,-19.884872,-5.476885,-41.704071,-89.80599,-15.241649,-0.489483,Sitting
12,2021-02-15 13:50:22.152,0.151335,2.621349,9.789493,0.029838,0.053683,-0.014719,-19.822382,-5.610691,-41.657104,-89.804801,-15.219878,-0.473203,Sitting
13,2021-02-15 13:50:22.202,0.001198,2.649939,9.461974,-0.023479,0.007812,0.001966,-19.838182,-5.610109,-41.618317,-89.792785,-15.166025,-0.381029,Sitting
14,2021-02-15 13:50:22.253,0.10598,2.589914,9.583072,-0.008323,0.011979,-0.003872,-19.782375,-5.35709,-41.759705,-89.790095,-15.204455,-0.333623,Sitting
15,2021-02-15 13:50:22.303,0.093406,2.576592,9.561666,-0.028172,0.035683,-0.010081,-19.671062,-5.413792,-41.869171,-89.836276,-15.137242,-0.352295,Sitting
16,2021-02-15 13:50:22.353,0.089214,2.582729,9.618099,-0.019322,0.034388,-0.025211,-19.783085,-5.412476,-42.041504,-89.844895,-15.078915,-0.278481,Sitting
17,2021-02-15 13:50:22.403,-0.028291,2.541864,9.647139,-0.006695,0.009277,-0.013338,-19.73732,-5.319189,-41.700409,-89.840873,-15.006886,-0.229012,Sitting
18,2021-02-15 13:50:22.453,0.025896,2.523153,9.48757,-0.040643,0.010526,-0.001958,-19.63933,-5.41168,-41.582611,-89.808692,-14.991601,-0.16776,Sitting
